"Sample_ID","N","mean_concentration_ng.uL","sd","se","ci"
"0523FENC_21",2,24.05,3.88908729652601,2.75,34.9420630244804
"0523FENC_22",2,44.8,0,0,0
"0523FENC_23",2,44.95,15.6270598642227,11.05,140.40356233473
"0523FENC_24",2,52.4,6.78822509939086,4.8,60.9897827336385
"0523FENC_25",2,36.05,6.15182899632296,4.35,55.2719906023599
"0523FENC_26",2,48.6,1.4142135623731,1,12.7062047361747
"0523FENC_27",2,20.05,13.2228968081884,9.35,118.803014283233
"0523FENC_28",2,47.8,1.4142135623731,1,12.7062047361747
"0523FENC_29",2,28.25,2.61629509039023,1.85,23.5064787619232
"0523FENC_30",2,33.05,5.58614357137372,3.95,50.18950870789
"0523GOLD_01",2,39.35,3.7476659402887,2.65,33.6714425508629
"0523GOLD_02",2,61.4,6.50538238691624,4.6,58.4485417864036
"0523GOLD_03",2,20.55,4.59619407771256,3.25,41.2951653925678
"0523GOLD_04",2,76.2,6.50538238691624,4.6,58.4485417864036
"0523GOLD_05",2,48.8,2.26274169979695,1.6,20.3299275778795
"0523GOLD_06",2,68.6,7.63675323681471,5.4,68.6135055753433
"0523GOLD_07",2,16.1,2.40416305603426,1.7,21.600548051497
"0523GOLD_08",2,55,4.24264068711928,3,38.1186142085241
"0523GOLD_09",2,59.8,3.11126983722081,2.2,27.9536504195843
"0523GOLD_10",2,28.35,3.18198051533946,2.25,28.5889606563931
"0523GOLD_11",2,46.2,2.54558441227157,1.8,22.8711685251145
"0523GOLD_12",2,107.4,17.819090885901,12.6,160.098179675801
"0523GOLD_13",2,102.6,10.4651803615609,7.4,94.0259150476927
"0523GOLD_14",2,30.15,2.1920310216783,1.55,19.6946173410708
"0523GOLD_15",2,49.8,5.37401153701776,3.8,48.2835779974638
"0523GOLD_16",2,26.05,13.7885822331377,9.75,123.885496177703
"0523GOLD_17",2,38.4,0.989949493661165,0.699999999999999,8.89434331532228
"0523GOLD_18",2,218,15.556349186104,11,139.768252097922
"0523GOLD_19",2,67.8,1.4142135623731,1,12.7062047361747
"0523GOLD_20",2,66.2,1.97989898732233,1.4,17.7886866306446
"0523GOLD_21",2,125,2.82842712474619,2,25.4124094723494
"0523GOLD_22",2,156,9.89949493661167,7,88.9434331532228
"0523GOLD_23",2,64.2,4.80832611206852,3.4,43.2010961029939
"0523GOLD_24",2,60,6.22253967444162,4.4,55.9073008391687
"0523GOLD_25",2,32.1,1.55563491861041,1.1,13.9768252097922
"0523GOLD_26",2,55.4,5.37401153701776,3.8,48.2835779974638
"0523GOLD_27",2,171.5,12.0208152801713,8.5,108.002740257485
"0523GOLD_28",2,27.55,3.60624458405139,2.55,32.4008220772455
"0523GOLD_29",2,29.8,0.565685424949239,0.4,5.08248189446988
"0523GOLD_30",2,41.4,1.4142135623731,1,12.7062047361747
"0523LAUR_01",2,37.25,0.494974746830585,0.350000000000001,4.44717165766116
"0523LAUR_02",2,23.7,0.141421356237309,0.0999999999999996,1.27062047361746
"0523LAUR_03",2,33.5,4.66690475583121,3.3,41.9304756293765
"0523LAUR_04",2,57.5,31.2541197284454,22.1,280.807124669461
"0523LAUR_05",2,25.65,3.88908729652601,2.75,34.9420630244804
"0523LAUR_06",2,70.2,5.37401153701776,3.8,48.2835779974638
"0523LAUR_07",2,28.8,0.565685424949239,0.4,5.08248189446988
"0523LAUR_08",2,33.3,2.26274169979695,1.6,20.3299275778795
"0523LAUR_09",2,34.35,4.45477272147525,3.15,40.0245449189503
"0523LAUR_10",2,41.1,1.83847763108502,1.3,16.5180661570271
"0523LAUR_11",2,25.65,3.7476659402887,2.65,33.6714425508629
"0523LAUR_12",2,27.65,0.636396103067894,0.450000000000001,5.71779213127863
"0523LAUR_13",2,80,10.1823376490863,7.2,91.4846741004578
"0523LAUR_14",2,59.4,1.4142135623731,1,12.7062047361747
"0523LAUR_15",2,30.8,3.25269119345812,2.3,29.2242708932018
"0523LAUR_16",2,53,1.4142135623731,1,12.7062047361747
"0523LAUR_17",2,50,1.13137084989847,0.799999999999997,10.1649637889397
"0523LAUR_18",2,42.2,0.848528137423854,0.599999999999998,7.62372284170479
"0523LAUR_19",2,67.2,9.61665222413705,6.8,86.4021922059879
"0523LAUR_20",2,58.2,0.282842712474618,0.199999999999999,2.54124094723493
"0523LAUR_21",2,44.4,2.82842712474619,2,25.4124094723494
"0523LAUR_22",2,39.6,3.39411254969543,2.4,30.4948913668192
"0523LAUR_23",2,42,1.69705627484772,1.2,15.2474456834097
"0523LAUR_24",2,34.6,1.27279220613578,0.899999999999998,11.4355842625572
"0523LAUR_25",2,34.9,2.82842712474619,2,25.4124094723494
"0523LAUR_26",2,31.1,2.68700576850888,1.9,24.1417889987319
"0523LAUR_27",2,50.8,5.65685424949238,4,50.8248189446988
"0523LAUR_28",2,44.6,0.282842712474618,0.199999999999999,2.54124094723493
"0523LAUR_29",2,46,3.95979797464466,2.8,35.5773732612891
"0523LAUR_30",2,65,4.24264068711928,3,38.1186142085241
"0623ASHC_01",2,71.8,3.11126983722081,2.2,27.9536504195844
"0623ASHC_02",2,50.2,3.67695526217004,2.6,33.0361323140542
"0623ASHC_03",2,47.8,6.50538238691623,4.6,58.4485417864036
"0623ASHC_04",2,55.6,1.13137084989848,0.800000000000001,10.1649637889398
"0623ASHC_05",2,200.5,2.12132034355964,1.5,19.059307104262
"0623ASHC_06",2,60.6,1.97989898732233,1.4,17.7886866306446
"0623ASHC_07",2,61.6,2.82842712474619,2,25.4124094723494
"0623ASHC_08",2,49.4,2.54558441227157,1.8,22.8711685251145
"0623ASHC_09",2,32.45,3.7476659402887,2.65,33.6714425508629
"0623ASHC_10",2,36.1,1.55563491861041,1.1,13.9768252097922
"0623ASHC_11",2,42.45,5.02045814642449,3.55,45.1070268134202
"0623ASHC_12",2,37.7,0.989949493661165,0.699999999999999,8.89434331532228
"0623ASHC_13",2,67.8,0.282842712474623,0.200000000000003,2.54124094723498
"0623ASHC_14",2,40.05,0.49497474683058,0.349999999999998,4.44717165766111
"0623ASHC_15",2,39.2,2.82842712474619,2,25.4124094723494
"0623ASHC_16",2,39.2,1.69705627484771,1.2,15.2474456834096
"0623ASHC_17",2,82.2,0.282842712474623,0.200000000000003,2.54124094723498
"0623ASHC_18",2,39.8,0.282842712474618,0.199999999999999,2.54124094723493
"0623ASHC_19",2,96.7,8.9095454429505,6.3,80.0490898379005
"0623ASHC_20",2,50,6.22253967444162,4.4,55.9073008391686
"0623ASHC_21",2,73.4,4.24264068711928,3,38.1186142085241
"0623ASHC_22",2,65,5.939696961967,4.2,53.3660598919338
"0623ASHC_23",2,38.2,4.24264068711928,3,38.1186142085241
"0623ASHC_24",2,61.8,6.50538238691624,4.6,58.4485417864036
"0623ASHC_25",2,58.8,6.22253967444162,4.4,55.9073008391687
"0623ASHC_26",2,54.4,6.78822509939086,4.8,60.9897827336385
"0623ASHC_27",2,78.8,5.65685424949238,4,50.8248189446988
"0623ASHC_28",2,39.15,4.03050865276332,2.85,36.2126834980979
"0623ASHC_29",2,111.5,10.6066017177982,7.5,95.2965355213102
"0623ASHC_30",2,38.2,1.97989898732234,1.4,17.7886866306446
"0623FENC_01",2,8.48,0.848528137423857,0.6,7.62372284170482
"0623FENC_02",2,31.45,0.353553390593274,0.25,3.17655118404367
"0623FENC_03",2,63.6,13.0107647738325,9.2,116.897083572807
"0623FENC_04",2,39.6,0.282842712474618,0.199999999999999,2.54124094723493
"0623FENC_05",2,22.6,0.141421356237309,0.0999999999999996,1.27062047361746
"0623FENC_06",2,66,2.26274169979694,1.59999999999999,20.3299275778794
"0623FENC_07",2,32.3,1.83847763108502,1.3,16.5180661570271
"0623FENC_08",2,29.1,1.13137084989847,0.799999999999999,10.1649637889397
"0623FENC_09",2,60.8,1.13137084989848,0.800000000000001,10.1649637889398
"0623FENC_10",2,54.4,4.5254833995939,3.2,40.659855155759
"0623FENC_11",2,84,7.3539105243401,5.2,66.0722646281084
"0623FENC_12",2,28.25,2.47487373415292,1.75,22.2358582883057
"0623FENC_13",2,79.8,5.37401153701776,3.8,48.2835779974638
"0623FENC_14",2,32.3,2.26274169979695,1.6,20.3299275778795
"0623FENC_15",2,286,31.1126983722081,22,279.536504195843
"0623FENC_16",2,45.2,4.5254833995939,3.2,40.659855155759
"0623FENC_17",2,85.6,1.69705627484771,1.2,15.2474456834096
"0623FENC_18",2,54.6,4.24264068711928,3,38.1186142085241
"0623FENC_19",2,35.35,4.31335136523794,3.05,38.7539244453328
"0623FENC_20",2,22.15,1.62634559672906,1.15,14.6121354466009
"0623FENC_21",2,100.8,7.3539105243401,5.2,66.0722646281084
"0623FENC_22",2,121,12.7279220613579,9,114.355842625572
"0623FENC_23",2,28.65,3.04055915910216,2.15,27.3183401827756
"0623FENC_24",2,50,3.39411254969543,2.4,30.4948913668192
"0623FENC_25",2,31.8,0,0,0
"0623FENC_26",2,78,6.22253967444163,4.40000000000001,55.9073008391687
"0623FENC_27",2,64.6,7.63675323681471,5.4,68.6135055753433
"0623FENC_28",2,32.25,2.1920310216783,1.55,19.6946173410708
"0623FENC_29",2,170.5,16.2634559672906,11.5,146.121354466009
"0623FENC_30",2,50.6,8.20243866176395,5.8,73.6959874698132
"0623GOLD_01",2,38.35,0.353553390593274,0.25,3.17655118404367
"0623GOLD_02",2,50.2,5.37401153701776,3.8,48.2835779974638
"0623GOLD_03",2,215,11.3137084989848,8,101.649637889398
"0623GOLD_04",2,49.8,3.11126983722081,2.2,27.9536504195843
"0623GOLD_05",2,201.5,6.36396103067893,4.5,57.1779213127861
"0623GOLD_06",2,50.6,3.67695526217005,2.6,33.0361323140542
"0623GOLD_07",2,29.4,0.707106781186548,0.5,6.35310236808735
"0623GOLD_08",2,46.4,1.13137084989848,0.800000000000001,10.1649637889398
"0623GOLD_09",2,50.4,1.13137084989848,0.800000000000001,10.1649637889398
"0623GOLD_10",2,91,1.4142135623731,1,12.7062047361747
"0623GOLD_11",2,82,2.82842712474619,2,25.4124094723494
"0623GOLD_12",2,28.1,2.40416305603426,1.7,21.600548051497
"0623GOLD_13",2,55.4,2.54558441227157,1.8,22.8711685251145
"0623GOLD_14",2,37.8,0.848528137423854,0.599999999999998,7.62372284170479
"0623GOLD_15",2,36.3,1.83847763108502,1.3,16.5180661570271
"0623GOLD_16",2,31.6,3.11126983722081,2.2,27.9536504195843
"0623GOLD_17",2,124,2.82842712474619,2,25.4124094723494
"0623GOLD_18",2,13.5,0.141421356237309,0.0999999999999996,1.27062047361746
"0623GOLD_19",2,48.4,2.26274169979695,1.6,20.3299275778795
"0623GOLD_20",2,30.3,2.54558441227157,1.8,22.8711685251145
"0623GOLD_21",2,188.5,17.6776695296637,12.5,158.827559202184
"0623GOLD_22",2,222.5,13.4350288425444,9.5,120.70894499366
"0623GOLD_23",2,111.5,4.94974746830583,3.5,44.4717165766114
"0623GOLD_24",2,134,5.65685424949238,4,50.8248189446988
"0623GOLD_25",2,30.55,0.636396103067892,0.449999999999999,5.7177921312786
"0623GOLD_26",2,49.8,3.11126983722081,2.2,27.9536504195843
"0623GOLD_27",2,230,0,0,0
"0623GOLD_28",2,69.4,11.5965512114594,8.19999999999999,104.190878836632
"0623GOLD_29",2,80.8,8.48528137423857,6,76.2372284170482
"0623GOLD_30",2,175,2.82842712474619,2,25.4124094723494
"0623LAUR_01",2,82.8,0.565685424949236,0.399999999999999,5.08248189446986
"0623LAUR_02",2,86.8,4.52548339959391,3.2,40.6598551557591
"0623LAUR_03",2,83.4,6.50538238691624,4.6,58.4485417864036
"0623LAUR_04",2,89.8,3.67695526217005,2.6,33.0361323140542
"0623LAUR_05",2,88.4,1.69705627484771,1.2,15.2474456834096
"0623LAUR_06",2,70.6,5.37401153701777,3.8,48.2835779974639
"0623LAUR_07",2,56.2,1.97989898732234,1.4,17.7886866306446
"0623LAUR_08",2,45.2,3.39411254969543,2.4,30.4948913668193
"0623LAUR_09",2,120,2.82842712474619,2,25.4124094723494
"0623LAUR_10",2,76.6,3.1112698372208,2.2,27.9536504195843
"0623LAUR_11",2,52,3.39411254969543,2.4,30.4948913668192
"0623LAUR_12",2,65.6,2.26274169979695,1.6,20.3299275778795
"0623LAUR_13",2,100.3,6.64680374315355,4.7,59.7191622600211
"0623LAUR_14",2,64.2,2.54558441227157,1.8,22.8711685251145
"0623LAUR_15",2,83.8,0.848528137423859,0.600000000000001,7.62372284170483
"0623LAUR_16",2,45.2,1.69705627484771,1.2,15.2474456834096
"0623LAUR_17",2,101.4,3.67695526217005,2.6,33.0361323140542
"0623LAUR_18",2,57.8,3.67695526217004,2.6,33.0361323140542
"0623LAUR_19",2,245.5,3.53553390593274,2.5,31.7655118404367
"0623LAUR_20",2,100.9,5.79827560572969,4.1,52.0954394183163
"0623LAUR_21",2,60.8,2.26274169979695,1.6,20.3299275778795
"0623LAUR_22",2,40.2,2.54558441227157,1.8,22.8711685251145
"0623LAUR_23",2,77,1.97989898732234,1.40000000000001,17.7886866306446
"0623LAUR_24",2,45.8,1.97989898732234,1.4,17.7886866306446
"0623LAUR_25",2,56.2,3.67695526217004,2.6,33.0361323140542
"0623LAUR_26",2,61,3.67695526217005,2.6,33.0361323140542
"0623LAUR_27",2,65.2,6.22253967444162,4.4,55.9073008391686
"0623LAUR_28",2,78,6.22253967444163,4.40000000000001,55.9073008391687
"0623LAUR_29",2,162.5,3.53553390593274,2.5,31.7655118404367
"0623LAUR_30",2,69.8,8.76812408671319,6.2,78.7784693642831
"0723ASHC_01",2,42.35,11.3844191771034,8.05,102.284948126206
"0723ASHC_02",2,12.65,3.18198051533946,2.25,28.5889606563931
"0723ASHC_03",2,25.5,3.53553390593274,2.5,31.7655118404367
"0723ASHC_04",2,65.2,15.8391918985787,11.2,142.309493045157
"0723ASHC_05",2,60.4,13.5764501987817,9.6,121.979565467277
"0723ASHC_06",2,65.2,12.4450793488832,8.8,111.814601678337
"0723ASHC_07",2,39.75,7.70746391493337,5.45,69.2488158121521
"0723ASHC_08",2,111.1,25.3144227664784,17.9,227.441064777527
"0723ASHC_09",2,134,22.6274169979695,16,203.299275778795
"0723ASHC_10",2,303,36.7695526217005,26,330.361323140542
"0723ASHC_11",2,38.7,6.92964645562817,4.9,62.260403207256
"0723ASHC_12",2,80.2,13.8592929112563,9.8,124.520806414512
"0723ASHC_13",2,42.85,5.58614357137372,3.95,50.18950870789
"0723ASHC_14",2,60.2,9.33380951166242,6.6,83.8609512587529
"0723ASHC_15",2,15.33,16.6452936291313,11.77,149.552029744776
"0723ASHC_16",2,42.9,9.47523086789974,6.7,85.1315717323704
"0723ASHC_17",2,35.9,10.8894444302728,7.7,97.8377764685451
"0723ASHC_18",2,95.1,16.8291413922398,11.9,151.203836360479
"0723ASHC_19",2,75.2,15.2735064736294,10.8,137.227011150687
"0723ASHC_20",2,100.6,21.7788888605457,15.4,195.67555293709
"0723ASHC_21",2,62.8,13.5764501987817,9.6,121.979565467277
"0723ASHC_22",2,33.4,7.4953318805774,5.3,67.3428851017259
"0723ASHC_23",2,33.1,4.66690475583121,3.3,41.9304756293765
"0723ASHC_24",2,79.2,18.6676190233249,13.2,167.721902517506
"0723ASHC_25",2,33.4,13.2936074863071,9.4,119.438324520042
"0723ASHC_26",2,71.8,16.1220346110533,11.4,144.850733992392
"0723ASHC_27",2,61.6,11.3137084989848,8,101.649637889398
"0723ASHC_28",2,83,32.5269119345812,23,292.242708932018
"0723ASHC_29",2,70.6,17.819090885901,12.6,160.098179675801
"0723ASHC_30",2,153,29.698484809835,21,266.830299459669
"0723FENC_01",2,126,16.9705627484771,12,152.474456834096
"0723FENC_02",2,15.25,2.47487373415292,1.75,22.2358582883057
"0723FENC_03",2,17,1.4142135623731,1,12.7062047361747
"0723FENC_04",2,34.9,3.53553390593274,2.5,31.7655118404367
"0723FENC_05",2,55.4,1.97989898732233,1.4,17.7886866306446
"0723FENC_06",2,74.2,6.50538238691624,4.6,58.4485417864036
"0723FENC_07",2,67.8,1.4142135623731,1,12.7062047361747
"0723FENC_08",2,52.4,2.82842712474619,2,25.4124094723494
"0723FENC_09",2,74,7.91959594928932,5.59999999999999,71.1547465225782
"0723FENC_10",2,54.8,7.35391052434009,5.2,66.0722646281084
"0723FENC_11",2,37.65,5.02045814642449,3.55,45.1070268134202
"0723FENC_12",2,59.8,5.939696961967,4.2,53.3660598919337
"0723FENC_13",2,20.01,18.5120555314638,13.09,166.324219996527
"0723FENC_14",2,15.1,1.27279220613579,0.9,11.4355842625572
"0723FENC_15",2,35.1,2.26274169979695,1.6,20.3299275778795
"0723FENC_16",2,56.6,11.5965512114594,8.2,104.190878836632
"0723FENC_17",2,147.5,16.2634559672906,11.5,146.121354466009
"0723FENC_18",2,63.2,11.3137084989848,8,101.649637889398
"0723FENC_19",2,74.6,8.20243866176396,5.8,73.6959874698133
"0723FENC_20",2,50.6,2.54558441227157,1.8,22.8711685251145
"0723FENC_21",2,167,9.89949493661167,7,88.9434331532228
"0723FENC_22",2,64.8,2.82842712474619,2,25.4124094723494
"0723FENC_23",2,92.8,9.05096679918781,6.4,81.319710311518
"0723FENC_24",2,131.5,21.920310216783,15.5,196.946173410708
"0723FENC_25",2,46.2,4.24264068711928,3,38.1186142085241
"0723FENC_26",2,137.5,13.4350288425444,9.5,120.70894499366
"0723FENC_27",2,63.6,4.5254833995939,3.2,40.659855155759
"0723FENC_28",2,24.95,1.06066017177982,0.75,9.52965355213102
"0723FENC_29",2,9.92,0.678822509939086,0.48,6.09897827336386
"0723FENC_30",2,15.95,1.20208152801713,0.85,10.8002740257485
"0723GOLD_01",1,41.6,NA,NA,NA
"0723GOLD_02",1,54,NA,NA,NA
"0723GOLD_03",1,66.4,NA,NA,NA
"0723GOLD_04",1,177,NA,NA,NA
"0723GOLD_05",1,79.2,NA,NA,NA
"0723GOLD_06",1,44.4,NA,NA,NA
"0723GOLD_07",1,51.2,NA,NA,NA
"0723GOLD_08",1,58,NA,NA,NA
"0723GOLD_09",1,27.1,NA,NA,NA
